Cd_Exercicio,Cd_Orgao,Sigla_Orgao,papa,Cd_Despesa,Vl_Orcado_Ano,Vl_Reduzido,Vl_Congelado,Disponivel,Vl_EmpenhadoLiquido,Vl_Liquidado,Vl_Pago
2019,11,SGM       ,Atividades,33903900,450000,450000,450000,0,0,0,0
2019,11,SGM       ,Atividades,33903900,123731000,"243281415,36","251645692,25",0,0,0,0
2019,11,SGM       ,Atividades,33903900,300000,240000,300000,0,0,0,0
2019,11,SGM       ,Atividades,33903900,100000,100000,100000,0,0,0,0
2019,12,SMSUB     ,Projetos,44903900,100000,"426104,98","429993,01","2270006,99","2001022,54","1579494,28","1579494,28"
2019,12,SMSUB     ,Projetos,44909200,0,0,0,"225168,55","225168,55","225168,55","225168,55"
2019,12,SMSUB     ,Atividades,33903900,200000,0,200000,0,0,0,0
2019,12,SMSUB     ,Projetos,44905200,1000,1000,1000,0,0,0,0
2019,12,SMSUB     ,Atividades,33903000,5000,0,0,0,0,0,0
2019,12,SMSUB     ,Atividades,33903900,50000,"26991,63",0,0,0,0,0
2019,12,SMSUB     ,Atividades,44905200,1000,1000,1000,0,0,0,0
2019,12,SMSUB     ,Atividades,33903000,5000,0,100,4900,4900,0,0
2019,12,SMSUB     ,Atividades,33904000,2008805,"470583,52","15462,09","1948469,61","1930104,94","1561340,16","1559642,69"
2019,12,SMSUB     ,Atividades,33909200,0,0,0,"23357,25","23357,25","23357,25","23357,25"
2019,12,SMSUB     ,Atividades,44904000,0,0,"287335,73","1363813,98",1354958,1354958,1354958
2019,12,SMSUB     ,Atividades,44905200,50000,"73540,83","3673,3","206390,33",59027,0,0
2019,12,SMSUB     ,Atividades,33903900,1755046,"3748151,61","4265575,08","4470468,72","3693454,71","2456090,59","1939493,7"
2019,12,SMSUB     ,Atividades,33909200,0,0,0,"2974,66","2974,66","546,61","546,61"
2019,12,SMSUB     ,Atividades,33903900,1000,1000,1000,0,0,0,0
2019,12,SMSUB     ,Pessoal,31901100,31900000,1500000,0,35264700,"35008464,72","35008464,72","35008464,72"
2019,12,SMSUB     ,Pessoal,31909600,1000,0,1000,0,0,0,0
2019,12,SMSUB     ,Atividades,33503900,3537830,"570494,85","339635,15","2629558,58",2627700,"2010100,3","2010100,3"
2019,12,SMSUB     ,Atividades,33504800,682172,0,6,682166,682166,"524150,47","524150,47"
2019,12,SMSUB     ,Atividades,33901400,15000,0,"25367,79","11574,71","11574,71","11574,71","11574,71"
2019,12,SMSUB     ,Atividades,33903000,100000,0,"51608,79","168673,51","105685,73","78931,7","77682,72"
2019,12,SMSUB     ,Atividades,33903300,307189,"59941,05","37489,19","209758,76","173364,98","81358,49","81358,49"
2019,12,SMSUB     ,Atividades,33903500,0,"177965,5",0,2639421,2639421,639142,639142
2019,12,SMSUB     ,Atividades,33903900,7797112,"2792481,45","1289685,01","20841558,32","20070324,37","18009513,3","17664467,67"
2019,12,SMSUB     ,Auxílios,33904600,4000000,0,0,"4589422,56","4573820,78","4573820,78","4573820,78"
2019,12,SMSUB     ,Auxílios,33904900,700000,0,0,"869876,99","868653,02","868653,02","868653,02"
