Cd_Exercicio,Administracao,Cd_Orgao,Sigla_Orgao,papa,Cd_Despesa,Vl_Orcado_Ano,Vl_Reduzido,Vl_Congelado,Disponivel,Vl_Liquidado,Vl_Pago
2022,Direta,13,SG        ,Atividades,33903600,0,0,0,50000,0,0
2022,Direta,13,SG        ,Atividades,33903900,0,8000,0,78500,0,0
2022,Direta,13,SG        ,Atividades,33904700,0,0,0,10000,0,0
2022,Direta,13,SG        ,Atividades,33903900,0,0,0,1000,0,0
2022,Direta,13,SG        ,Atividades,33904800,0,0,0,1000,0,0
2022,Direta,13,SG        ,Atividades,33903900,0,0,0,1058563,"271410,32",0
2022,Direta,13,SG        ,Atividades,33903900,0,0,0,365794,0,0
2022,Direta,13,SG        ,Atividades,33903900,0,0,0,0,0,0
2022,Direta,13,SG        ,Atividades,33904800,0,0,0,0,0,0
2022,Direta,14,SEHAB     ,Atividades,33903000,40000,0,0,40000,12800,12800
2022,Direta,14,SEHAB     ,Atividades,33903900,1001000,"868302,69",0,"132697,31",0,0
2022,Direta,14,SEHAB     ,Atividades,33904000,400000,0,0,"684431,33",358000,0
2022,Direta,14,SEHAB     ,Atividades,44905200,50000,0,0,50000,0,0
2022,Direta,14,SEHAB     ,Pessoal,31901100,25331235,0,0,"25791778,25","22078808,29","22078808,29"
2022,Direta,14,SEHAB     ,Pessoal,31909600,830904,"147953,6",0,"682950,4",0,0
2022,Direta,14,SEHAB     ,Atividades,33503900,378968,0,0,378968,"168171,57","168171,57"
2022,Direta,14,SEHAB     ,Atividades,33504800,20000,0,0,"67953,6","30594,51","30594,51"
2022,Direta,14,SEHAB     ,Atividades,33900800,1000,0,0,1000,0,0
2022,Direta,14,SEHAB     ,Atividades,33901400,50000,0,0,50000,712,712
2022,Direta,14,SEHAB     ,Atividades,33903000,50000,0,0,200000,"54545,9","53102,86"
2022,Direta,14,SEHAB     ,Atividades,33903300,100000,0,0,100000,0,0
2022,Direta,14,SEHAB     ,Atividades,33903700,1000,0,0,1000,0,0
2022,Direta,14,SEHAB     ,Atividades,33903900,7000000,"389431,33",0,"9692519,07","6033289,6","5460206,21"
2022,Direta,14,SEHAB     ,Atividades,33904000,1000,0,0,1000,0,0
2022,Direta,14,SEHAB     ,Aux�lios,33904600,1965078,0,0,"2372837,44","1835770,21","1835770,21"
2022,Direta,14,SEHAB     ,Atividades,33904700,1000,0,0,1000,0,0
2022,Direta,14,SEHAB     ,Atividades,33904800,1000,0,0,1000,0,0
2022,Direta,14,SEHAB     ,Aux�lios,33904900,200000,0,0,200000,"55858,81","55858,81"
2022,Direta,14,SEHAB     ,Atividades,33909200,0,0,0,0,0,0
2022,Direta,14,SEHAB     ,Atividades,33909300,0,0,0,5000,"434,76","434,76"
2022,Direta,14,SEHAB     ,Atividades,33913900,7000000,300000,0,6700000,"3143505,73","2583954,69"
2022,Direta,14,SEHAB     ,Atividades,33914000,1500000,1500000,0,0,0,0
